2026-08-11 07:04:20,439 [daml.index.db.threadpool.connection.indexer-9] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T23:00:00Z)
2026-08-11 07:04:20,442 [daml.index.db.threadpool.connection.indexer-9] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-10T23:00:00Z)
2026-08-11 07:27:20,839 [canton-env-ec-86] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::12209834d168... authenticated new token with expiry 2026-08-11T00:27:20.838980Z
2026-08-11 07:27:21,061 [canton-env-ec-110] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::12209834d168... authenticated new token with expiry 2026-08-11T00:27:21.060870Z
2026-08-11 07:27:23,222 [canton-env-ec-110] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12206722ea2b... authenticated new token with expiry 2026-08-11T00:27:23.222109Z
2026-08-11 07:27:40,824 [canton-env-ec-99] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2026-08-11 07:27:40,825 [canton-env-ec-89] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 07:27:40,888 [canton-env-ec-102] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::12209834d168... subscribes from counter=36
2026-08-11 07:27:41,054 [canton-env-ec-26] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2026-08-11 07:27:41,054 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 07:27:41,118 [canton-env-ec-36] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::12209834d168... subscribes from counter=35
2026-08-11 07:27:43,205 [canton-env-ec-99] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::12209834d168 - The sequencer subscription has been terminated by the server.
2026-08-11 07:27:43,206 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::12209834d168 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 07:27:43,272 [canton-env-ec-82] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::12206722ea2b... subscribes from counter=55
2026-08-11 08:04:20,441 [daml.index.db.threadpool.connection.indexer-2] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-11T00:00:00Z)
2026-08-11 08:04:20,444 [daml.index.db.threadpool.connection.indexer-2] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-11T00:00:00Z)
2026-08-11 08:27:00,859 [canton-env-ec-83] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::12209834d168... authenticated new token with expiry 2026-08-11T01:27:00.858908Z
2026-08-11 08:27:01,088 [canton-env-ec-26] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::12209834d168... authenticated new token with expiry 2026-08-11T01:27:01.088136Z
2026-08-11 08:27:03,250 [canton-env-ec-102] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12206722ea2b... authenticated new token with expiry 2026-08-11T01:27:03.250188Z
2026-08-11 08:27:20,852 [canton-env-ec-90] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2026-08-11 08:27:20,852 [canton-env-ec-82] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 08:27:20,909 [canton-env-ec-37] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::12209834d168... subscribes from counter=36
2026-08-11 08:27:21,066 [canton-env-ec-99] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2026-08-11 08:27:21,067 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 08:27:21,122 [canton-env-ec-83] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::12209834d168... subscribes from counter=35
2026-08-11 08:27:23,234 [canton-env-ec-102] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::12209834d168 - The sequencer subscription has been terminated by the server.
2026-08-11 08:27:23,234 [canton-env-ec-110] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::12209834d168 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 08:27:23,297 [canton-env-ec-86] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::12206722ea2b... subscribes from counter=55
